time,num_instructions,location,block,condition,success
4.411028899999792,2,2,1,tactile,success
1.9844528999999511,1,9,1,tactile,fail
3.9838761000000886,2,9,1,tactile,fail
4.608174500000132,2,1,1,tactile,fail
3.682616600000074,2,7,1,tactile,success
5.214957300000151,2,2,1,tactile,success
4.181525400000282,2,9,1,tactile,fail
4.830653400000301,3,9,1,tactile,success
5.1234802999997555,3,1,1,tactile,success
4.01635030000034,3,7,1,tactile,success
4.989216200000101,3,1,1,tactile,success
3.2901105999999345,2,6,1,tactile,success
4.516949900000327,3,1,1,tactile,success
2.999458599999798,2,4,1,tactile,success
2.5423287000003256,2,8,2,tactile,success
2.1697031000003335,2,8,2,tactile,success
1.6056883999999627,1,5,2,tactile,success
3.2305139000000054,3,7,2,tactile,success
3.757588500000111,3,1,2,tactile,success
3.765992399999959,3,3,2,tactile,success
3.221604699999716,3,7,2,tactile,success
3.7678851999999097,3,3,2,tactile,success
2.5777899999998226,2,6,2,tactile,success
2.515895300000011,2,6,3,tactile,success
4.1911504999998215,3,3,3,tactile,success
2.5968299000001025,2,6,3,tactile,success
3.401252300000124,3,9,3,tactile,success
1.4183634000000893,1,5,3,tactile,success
3.5660476000002745,3,9,3,tactile,success
2.5587914000002456,2,4,3,tactile,success
2.5439909000001535,2,4,3,tactile,success
2.5640949999997247,2,8,3,tactile,success
time,num_instructions,location,block,condition,success
2.3343646999999237,2,2,1,tactile,success
5.7310611999998855,3,9,1,tactile,fail
3.233473500000173,1,9,1,tactile,fail
2.667010899999923,2,1,1,tactile,fail
5.5638708999999835,1,7,1,tactile,success
0.25899679999997716,1,1,1,tactile,success
2.975923400000056,1,6,1,tactile,success
0.1600068000000192,1,1,1,tactile,success
0.15491079999992508,1,4,1,tactile,success
4.411028899999792,2,2,1,tactile,success
1.9844528999999511,1,9,1,tactile,fail
3.9838761000000886,2,9,1,tactile,fail
4.608174500000132,2,1,1,tactile,fail
3.682616600000074,2,7,1,tactile,success
5.214957300000151,2,2,1,tactile,success
4.181525400000282,2,9,1,tactile,fail
4.830653400000301,3,9,1,tactile,success
5.1234802999997555,3,1,1,tactile,success
4.01635030000034,3,7,1,tactile,success
4.989216200000101,3,1,1,tactile,success
3.2901105999999345,2,6,1,tactile,success
4.516949900000327,3,1,1,tactile,success
2.999458599999798,2,4,1,tactile,success
2.5423287000003256,2,8,2,tactile,success
2.1697031000003335,2,8,2,tactile,success
1.6056883999999627,1,5,2,tactile,success
3.2305139000000054,3,7,2,tactile,success
3.757588500000111,3,1,2,tactile,success
3.765992399999959,3,3,2,tactile,success
3.221604699999716,3,7,2,tactile,success
3.7678851999999097,3,3,2,tactile,success
2.5777899999998226,2,6,2,tactile,success
